,Organization Name,twitter_handle,screen_name,agency_catergory,followers_count,friends_count,location
66,SHORE Centre,@SHORECentreWR,SHORECentreWR,Health and Wellness,1913,1690,"Kitchener, Ontario"
67,Social Development Centre Waterloo Region,@sdcwr,sdcwr,Community and Social Services,2647,2174,"Kitchener, Ontario"
68,SPECTRUM Waterloo Region's Rainbow Community Space,@our_SPECTRUM,our_SPECTRUM,LGBTQ,1230,809,"Kitchener, Ontario"
69,Steckle Heritage Farm,@JSteckleFarm,JSteckleFarm,"Arts, Culture and Heritage",1096,390,"Kitchener, ON"
70,Strong Start Charitable Organization,@Strong_Start,Strong_Start,Literacy and Skills Development,2201,1572,"Waterloo, Ontario"
71,Supportive Housing of Waterloo,@SHOWaterloo,SHOWaterloo,Community and Social Services,956,1400,"362 Erb St W, Waterloo. "
72,The Literacy Group of Waterloo Region,@TLGwr,TLGwr,Literacy and Skills Development,594,614,"Waterloo Region, Ontario"
73,Traverse Independence,@Travind111,Travind111,Disabilities,101,137,"Kitchener, Ontario"
74,Uptown Waterloo BIA,@uptownwaterloo,uptownwaterloo,Employment,25052,423,"Waterloo, ON"
75,Victim Services of Waterloo Region,@vswaterloo,vswaterloo,Community and Social Services,324,252,"Waterloo, Ontario"
76,Volunteer Action Centre Waterloo Region,@volunteerWR,volunteerWR,Community and Social Services,5884,740,"Kitchener, ON Canada"
77,Women's Crisis Services of Waterloo Region,@WomensCrisisSWR,WomensCrisisSWR,"Children, Youth and Family",4789,2822,Waterloo Region
78,YW Kitchener-Waterloo,@ywcakw,ywcakw,"Children, Youth and Family",3410,2178,"Kitchener, Ontario"
79,Neruda Arts,@NerudaArts,NerudaArts,"Arts, Culture and Heritage",1716,1194,St Jacobs Ontario
80,YWCA Cambridge,@YMCAsofCandKW,YMCAsofCandKW,"Children, Youth and Family",4529,1828,Waterloo Region
81,The Museum,@THEMUSEUM,THEMUSEUM,"Arts, Culture and Heritage",18095,6858,"Kitchener, Ontario, Canada"
82,Kitchener-Waterloo Community Foundation,@thekwcf,thekwcf,Community and Social Services,4427,782,"Kitchener-Waterloo, Ontario"
83,The Working Centre,@Workingcentre,Workingcentre,Community and Social Services,2905,256,Kitchener
84,WorkforceBoardofWWD,@WorkforceWWD,WorkforceWWD,Employment,441,406,Waterloo Wellington Dufferin
85,Data For Good,@dataforgoodwr,dataforgoodwr,Education Institution,192,21,Waterloo
